Date : 2024-03-30 09:02:21
Directory : c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024
Total : 74 files,  9785 codes, 182 comments, 911 blanks, all 10878 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\RobotContainer.java                    | Java               |        234 |         16 |         30 |        280 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\AdaptiveMovingRangedShot.java | Java               |        204 |          0 |         23 |        227 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\AlignElevatorShoot.java       | Java               |        167 |          0 |         20 |        187 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\AlignedPass.java              | Java               |        182 |          0 |         22 |        204 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\Amp.java                      | Java               |         43 |          0 |          7 |         50 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\BabyBird.java                 | Java               |         48 |          0 |          9 |         57 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\Barf.java                     | Java               |         22 |          0 |          4 |         26 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\BasicCommands.java            | Java               |        262 |          0 |         35 |        297 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\Climb.java                    | Java               |         32 |          0 |          6 |         38 |
| c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commands\DriveCommands.java            | Java               |        259 |          0 |         25 |        284 |
